num_partido;año;Generación;Rival;Condición;Tipo;Competencia;Goles Chile;Goles Rival;Dif. Goles;Resultado;Ciudad
477;1997;Generación 1990-1997;Uruguay;Visita;Oficial;Clasificatorias Francia 1998;0;1;-1;Derrota;Montevideo
478;1997;Generación 1990-1997;Argentina;Local;Oficial;Clasificatorias Francia 1998;1;2;-1;Derrota;Santiago
479;1997;Generación 1990-1997;Perú;Local;Oficial;Clasificatorias Francia 1998;4;0;4;Victoria;Santiago
480;1997;Generación 1990-1997;Guatemala;Local;Amistoso;Partido amistoso;4;1;3;Victoria;Antofagasta
481;1997;Generación 1990-1997;Bolivia;Local;Oficial;Clasificatorias Francia 1998;3;0;3;Victoria;Santiago
482;1998;Generación Francia '98;Irán;Visita;Oficial;1998 Carlsberg Cup;1;1;0;Empate;So Kon Po
483;1998;Generación Francia '98;Nueva Zelanda;Visita;Amistoso;Partido amistoso;0;0;0;Empate;Auckland
484;1998;Generación Francia '98;Australia;Visita;Amistoso;Partido amistoso;1;0;1;Victoria;Melbourne
485;1998;Generación Francia '98;Inglaterra;Visita;Amistoso;Partido amistoso;2;0;2;Victoria;Londres
486;1998;Generación Francia '98;Colombia;Local;Amistoso;Partido amistoso;2;2;0;Empate;Santiago
487;1998;Generación Francia '98;Lituania;Local;Amistoso;Partido amistoso;1;0;1;Victoria;Santiago
488;1998;Generación Francia '98;Argentina;Visita;Amistoso;Partido amistoso;0;1;-1;Derrota;Mendoza
489;1998;Generación Francia '98;Uruguay;Local;Amistoso;Partido amistoso;2;2;0;Empate;Santiago
490;1998;Generación Francia '98;Túnez;Visita;Amistoso;Partido amistoso;3;2;1;Victoria;Montélimar
491;1998;Generación Francia '98;Marruecos;Visita;Amistoso;Partido amistoso;1;1;0;Empate;Aviñón
492;1998;Generación Francia '98;Italia;Visita;Oficial;Copa del Mundo Francia 1998;2;2;0;Empate;Burdeos
493;1998;Generación Francia '98;Austria;Local;Oficial;Copa del Mundo Francia 1998;1;1;0;Empate;Saint-Étienne
494;1998;Generación Francia '98;Camerún;Local;Oficial;Copa del Mundo Francia 1998;1;1;0;Empate;Nantes
495;1998;Generación Francia '98;Brasil;Visita;Oficial;Copa del Mundo Francia 1998;1;4;-3;Derrota;París
496;1999;Generación Francia '98;Guatemala;Visita;Amistoso;Partido amistoso;1;1;0;Empate;Ciudad de Guatemala
497;1999;Generación Francia '98;Estados Unidos;Visita;Amistoso;Partido amistoso;1;2;-1;Derrota;Fort Lauderdale
498;1999;Generación Francia '98;Bolivia;Visita;Amistoso;Partido amistoso;1;1;0;Empate;Cochabamba
499;1999;Generación Francia '98;Costa Rica;Local;Amistoso;Partido amistoso;3;0;3;Victoria;Concepción
500;1999;Generación Francia '98;Bolivia;Local;Amistoso;Partido amistoso;1;0;1;Victoria;Santiago
501;1999;Generación Francia '98;Ecuador;Local;Amistoso;Partido amistoso;0;0;0;Empate;Santiago
502;1999;Generación Francia '98;México;Local;Oficial;Copa América 1999;0;1;-1;Derrota;Ciudad del Este
503;1999;Generación Francia '98;Venezuela;Local;Oficial;Copa América 1999;3;0;3;Victoria;Ciudad del Este
504;1999;Generación Francia '98;Brasil;Visita;Oficial;Copa América 1999;0;1;-1;Derrota;Ciudad del Este
505;1999;Generación Francia '98;Colombia;Visita;Oficial;Copa América 1999;3;2;1;Victoria;Luque
506;1999;Generación Francia '98;Uruguay;Visita;Oficial;Copa América 1999;1;1;0;Empate;Asunción
507;1999;Generación Francia '98;México;Local;Oficial;Copa América 1999;1;2;-1;Derrota;Asunción
508;2000;Generación Francia '98;Estados Unidos;Local;Amistoso;Partido amistoso;1;2;-1;Derrota;Coquimbo
509;2000;Generación Francia '98;Costa Rica;Visita;Amistoso;Partido amistoso;0;1;-1;Derrota;San José
510;2000;Generación Francia '98;Guatemala;Visita;Amistoso;Partido amistoso;1;2;-1;Derrota;Ciudad de Guatemala
511;2000;Generación Francia '98;Australia;Local;Oficial;Copa Ciudad de Valparaíso;2;1;1;Victoria;Valparaíso
512;2000;Generación Francia '98;Bulgaria;Local;Oficial;Copa Ciudad de Valparaíso;3;2;1;Victoria;Valparaíso
513;2000;Generación Francia '98;Eslovaquia;Local;Oficial;Copa Ciudad de Valparaíso;0;2;-2;Derrota;Valparaíso
514;2000;Generación Francia '98;Honduras;Local;Amistoso;Partido amistoso;5;2;3;Victoria;Santiago
515;2000;Generación Francia '98;Argentina;Visita;Oficial;Clasificatorias Corea/Japón 2002;1;4;-3;Derrota;Buenos Aires
516;2000;Generación Francia '98;Perú;Local;Oficial;Clasificatorias Corea/Japón 2002;1;1;0;Empate;Santiago
517;2000;Generación Francia '98;Uruguay;Visita;Oficial;Clasificatorias Corea/Japón 2002;1;2;-1;Derrota;Montevideo
518;2000;Generación Francia '98;Paraguay;Local;Oficial;Clasificatorias Corea/Japón 2002;3;1;2;Victoria;Santiago
519;2000;Generación Francia '98;Bolivia;Visita;Oficial;Clasificatorias Corea/Japón 2002;0;1;-1;Derrota;La Paz
520;2000;Generación Francia '98;Venezuela;Visita;Oficial;Clasificatorias Corea/Japón 2002;2;0;2;Victoria;San Cristóbal
521;2000;Generación Francia '98;Brasil;Local;Oficial;Clasificatorias Corea/Japón 2002;3;0;3;Victoria;Santiago
522;2000;Generación Francia '98;Colombia;Local;Oficial;Clasificatorias Corea/Japón 2002;0;1;-1;Derrota;Santiago
523;2000;Generación Francia '98;Ecuador;Visita;Oficial;Clasificatorias Corea/Japón 2002;0;1;-1;Derrota;Quito
524;2000;Generación Francia '98;Argentina;Local;Oficial;Clasificatorias Corea/Japón 2002;0;2;-2;Derrota;Santiago
525;2001;Generación Francia '98;Honduras;Visita;Amistoso;Partido amistoso;1;3;-2;Derrota;San Pedro Sula
526;2001;Generación Francia '98;Perú;Visita;Oficial;Clasificatorias Corea/Japón 2002;1;3;-2;Derrota;Lima
527;2001;Generación Francia '98;México;Visita;Amistoso;Partido amistoso;0;1;-1;Derrota;Monterrey
528;2001;Generación Francia '98;Uruguay;Local;Oficial;Clasificatorias Corea/Japón 2002;0;1;-1;Derrota;Santiago
529;2001;Generación Francia '98;Paraguay;Visita;Oficial;Clasificatorias Corea/Japón 2002;0;1;-1;Derrota;Asunción
530;2001;Generación Francia '98;Ecuador;Visita;Oficial;Copa América 2001;4;1;3;Victoria;Barranquilla
531;2001;Generación Francia '98;Venezuela;Local;Oficial;Copa América 2001;1;0;1;Victoria;Barranquilla
532;2001;Generación Francia '98;Colombia;Visita;Oficial;Copa América 2001;0;2;-2;Derrota;Barranquilla
533;2001;Generación Francia '98;México;Local;Oficial;Copa América 2001;0;2;-2;Derrota;Pereira
534;2001;Generación Francia '98;Bolivia;Local;Oficial;Clasificatorias Corea/Japón 2002;2;2;0;Empate;Santiago
535;2001;Generación Francia '98;Francia;Local;Amistoso;Partido amistoso;2;1;1;Victoria;Santiago
536;2001;Generación Francia '98;Venezuela;Local;Oficial;Clasificatorias Corea/Japón 2002;0;2;-2;Derrota;Santiago
537;2001;Generación Francia '98;Brasil;Visita;Oficial;Clasificatorias Corea/Japón 2002;0;2;-2;Derrota;Curitiba
538;2001;Generación Francia '98;Colombia;Visita;Oficial;Clasificatorias Corea/Japón 2002;1;3;-2;Derrota;Bogotá
539;2001;Generación Francia '98;Ecuador;Local;Oficial;Clasificatorias Corea/Japón 2002;0;0;0;Empate;Santiago
540;2002;Generación Francia '98;Turquía;Visita;Amistoso;Partido amistoso;0;2;-2;Derrota;Kerkrade
541;2003;Generación Francia '98;Perú;Local;Amistoso;Partido amistoso;2;0;2;Victoria;Santiago
542;2003;Generación Francia '98;Perú;Visita;Amistoso;Partido amistoso;0;3;-3;Derrota;Lima
543;2003;Generación Francia '98;Costa Rica;Local;Amistoso;Partido amistoso;1;0;1;Victoria;Santiago
544;2003;Generación Francia '98;Costa Rica;Visita;Amistoso;Partido amistoso;0;1;-1;Derrota;San José
545;2003;Generación Francia '98;Honduras;Visita;Amistoso;Partido amistoso;2;1;1;Victoria;San Pedro Sula
546;2003;Generación Francia '98;China;Visita;Amistoso;Partido amistoso;0;0;0;Empate;Tianjin
547;2003;Generación Francia '98;Argentina;Visita;Oficial;Clasificatorias Alemania 2006;2;2;0;Empate;Buenos Aires
548;2003;Generación Francia '98;Perú;Local;Oficial;Clasificatorias Alemania 2006;2;1;1;Victoria;Santiago
549;2003;Generación Francia '98;Uruguay;Visita;Oficial;Clasificatorias Alemania 2006;1;2;-1;Derrota;Montevideo
550;2003;Generación Francia '98;Paraguay;Local;Oficial;Clasificatorias Alemania 2006;0;1;-1;Derrota;Santiago
551;2004;Generación Francia '98;México;Visita;Amistoso;Partido amistoso;1;1;0;Empate;Carson
552;2004;Generación Francia '98;Bolivia;Visita;Oficial;Clasificatorias Alemania 2006;2;0;2;Victoria;La Paz
553;2004;Generación Francia '98;Perú;Local;Amistoso;Partido amistoso;1;1;0;Empate;Antofagasta
554;2004;Generación Francia '98;Venezuela;Visita;Oficial;Clasificatorias Alemania 2006;1;0;1;Victoria;San Cristóbal
555;2004;Generación Francia '98;Brasil;Local;Oficial;Clasificatorias Alemania 2006;1;1;0;Empate;Santiago
556;2004;Generación Francia '98;Brasil;Visita;Oficial;Copa América 2004;0;1;-1;Derrota;Arequipa
557;2004;Generación Francia '98;Paraguay;Visita;Oficial;Copa América 2004;1;1;0;Empate;Arequipa
558;2004;Generación Francia '98;Costa Rica;Visita;Oficial;Copa América 2004;1;2;-1;Derrota;Tacna
559;2004;Generación Francia '98;Colombia;Local;Oficial;Clasificatorias Alemania 2006;0;0;0;Empate;Santiago
560;2004;Generación Francia '98;Ecuador;Visita;Oficial;Clasificatorias Alemania 2006;0;2;-2;Derrota;Quito
561;2004;Generación Francia '98;Argentina;Local;Oficial;Clasificatorias Alemania 2006;0;0;0;Empate;Santiago
562;2004;Generación Francia '98;Perú;Visita;Oficial;Clasificatorias Alemania 2006;1;2;-1;Derrota;Lima
563;2005;Generación Francia '98;Ecuador;Local;Amistoso;Partido amistoso;3;0;3;Victoria;Viña del Mar
564;2005;Generación Francia '98;Uruguay;Local;Oficial;Clasificatorias Alemania 2006;1;1;0;Empate;Santiago
565;2005;Generación Francia '98;Paraguay;Visita;Oficial;Clasificatorias Alemania 2006;1;2;-1;Derrota;Asunción
566;2005;Generación Francia '98;Bolivia;Local;Oficial;Clasificatorias Alemania 2006;3;1;2;Victoria;Santiago
567;2005;Generación Francia '98;Venezuela;Local;Oficial;Clasificatorias Alemania 2006;2;1;1;Victoria;Santiago
568;2005;Generación Francia '98;Perú;Visita;Amistoso;Partido amistoso;1;3;-2;Derrota;Tacna
569;2005;Generación Francia '98;Brasil;Visita;Oficial;Clasificatorias Alemania 2006;0;5;-5;Derrota;Brasilia
570;2005;Generación Francia '98;Colombia;Visita;Oficial;Clasificatorias Alemania 2006;1;1;0;Empate;Barranquilla
571;2005;Generación Francia '98;Ecuador;Local;Oficial;Clasificatorias Alemania 2006;0;0;0;Empate;Santiago
572;2006;Generación Francia '98;Nueva Zelanda;Local;Amistoso;Partido amistoso;4;1;3;Victoria;Rancagua
573;2006;Generación Francia '98;Nueva Zelanda;Local;Amistoso;Partido amistoso;1;0;1;Victoria;La Calera
574;2006;Generación Francia '98;República de Irlanda;Visita;Amistoso;Partido amistoso;1;0;1;Victoria;Dublín
575;2006;Generación Francia '98;Costa de Marfil;Local;Amistoso;Partido amistoso;1;1;0;Empate;Vittel
576;2006;Generación Francia '98;Suecia;Visita;Amistoso;Partido amistoso;1;1;0;Empate;Solna
577;2006;Generación Francia '98;Colombia;Local;Amistoso;Partido amistoso;1;2;-1;Derrota;Santiago
578;2006;Generación Francia '98;Perú;Local;Oficial;Copa del Pacífico 2006;3;2;1;Victoria;Viña del Mar
579;2006;Generación Francia '98;Perú;Visita;Oficial;Copa del Pacífico 2006;1;0;1;Victoria;Tacna
580;2006;Generación Francia '98;Paraguay;Local;Amistoso;Partido amistoso;3;2;1;Victoria;Viña del Mar
581;2007;Generación Dorada;Venezuela;Visita;Amistoso;Partido amistoso;1;0;1;Victoria;Maracaibo
582;2007;Generación Dorada;Brasil;Visita;Amistoso;Partido amistoso;0;4;-4;Derrota;Gotemburgo
583;2007;Generación Dorada;Costa Rica;Local;Amistoso;Partido amistoso;1;1;0;Empate;Talca
584;2007;Generación Dorada;Argentina;Visita;Amistoso;Partido amistoso;0;0;0;Empate;Mendoza
585;2007;Generación Dorada;Cuba;Local;Amistoso;Partido amistoso;3;0;3;Victoria;Osorno
586;2007;Generación Dorada;Cuba;Local;Amistoso;Partido amistoso;2;0;2;Victoria;Temuco
587;2007;Generación Dorada;Haití;Visita;Amistoso;Partido amistoso;0;0;0;Empate;Puerto Príncipe
588;2007;Generación Dorada;Costa Rica;Visita;Amistoso;Partido amistoso;0;2;-2;Derrota;San José
589;2007;Generación Dorada;Jamaica;Visita;Amistoso;Partido amistoso;1;0;1;Victoria;Kingston
590;2007;Generación Dorada;Ecuador;Visita;Oficial;Copa América 2007;3;2;1;Victoria;Puerto Ordaz
591;2007;Generación Dorada;Brasil;Visita;Oficial;Copa América 2007;0;3;-3;Derrota;Maturín
592;2007;Generación Dorada;México;Visita;Oficial;Copa América 2007;0;0;0;Empate;Puerto La Cruz
593;2007;Generación Dorada;Brasil;Local;Oficial;Copa América 2007;1;6;-5;Derrota;Puerto La Cruz
594;2007;Generación Dorada;Suiza;Visita;Oficial;Turnier der Kontinente 2007;1;2;-1;Derrota;Viena
595;2007;Generación Dorada;Austria;Visita;Oficial;Turnier der Kontinente 2007;2;0;2;Victoria;Viena
596;2007;Generación Dorada;Argentina;Visita;Oficial;Clasificatorias Sudáfrica 2010;0;2;-2;Derrota;Buenos Aires
597;2007;Generación Dorada;Perú;Local;Oficial;Clasificatorias Sudáfrica 2010;2;0;2;Victoria;Santiago
598;2007;Generación Dorada;Uruguay;Visita;Oficial;Clasificatorias Sudáfrica 2010;2;2;0;Empate;Montevideo
599;2007;Generación Dorada;Paraguay;Local;Oficial;Clasificatorias Sudáfrica 2010;0;3;-3;Derrota;Santiago
600;2008;Generación Dorada;Japón;Visita;Amistoso;Partido amistoso;0;0;0;Empate;Tokio
601;2008;Generación Dorada;Corea del Sur;Visita;Amistoso;Partido amistoso;1;0;1;Victoria;Seúl
602;2008;Generación Dorada;Israel;Visita;Amistoso;Partido amistoso;0;1;-1;Derrota;Ramat Gan
603;2008;Generación Dorada;Guatemala;Local;Amistoso;Partido amistoso;2;0;2;Victoria;Rancagua
604;2008;Generación Dorada;Panamá;Local;Amistoso;Partido amistoso;0;0;0;Empate;Valparaíso
605;2008;Generación Dorada;Bolivia;Visita;Oficial;Clasificatorias Sudáfrica 2010;2;0;2;Victoria;La Paz
606;2008;Generación Dorada;Venezuela;Visita;Oficial;Clasificatorias Sudáfrica 2010;3;2;1;Victoria;Puerto La Cruz
607;2008;Generación Dorada;Turquía;Visita;Amistoso;Partido amistoso;0;1;-1;Derrota;_zmit
608;2008;Generación Dorada;Brasil;Local;Oficial;Clasificatorias Sudáfrica 2010;0;3;-3;Derrota;Santiago
609;2008;Generación Dorada;Colombia;Local;Oficial;Clasificatorias Sudáfrica 2010;4;0;4;Victoria;Santiago
610;2008;Generación Dorada;México;Visita;Amistoso;Partido amistoso;1;0;1;Victoria;Los Ángeles
611;2008;Generación Dorada;Ecuador;Visita;Oficial;Clasificatorias Sudáfrica 2010;0;1;-1;Derrota;Quito
612;2008;Generación Dorada;Argentina;Local;Oficial;Clasificatorias Sudáfrica 2010;1;0;1;Victoria;Santiago
613;2008;Generación Dorada;España;Visita;Amistoso;Partido amistoso;0;3;-3;Derrota;Villarreal
614;2009;Generación Dorada;Honduras;Visita;Amistoso;Partido amistoso;0;2;-2;Derrota;Fort Lauderdale
615;2009;Generación Dorada;Sudáfrica;Visita;Amistoso;Partido amistoso;2;0;2;Victoria;Polokwane
616;2009;Generación Dorada;Perú;Visita;Oficial;Clasificatorias Sudáfrica 2010;3;1;2;Victoria;Lima
617;2009;Generación Dorada;Uruguay;Local;Oficial;Clasificatorias Sudáfrica 2010;0;0;0;Empate;Santiago
618;2009;Generación Dorada;Japón;Visita;Oficial;2009 Kirin Cup;0;4;-4;Derrota;Osaka
619;2009;Generación Dorada;Bélgica;Visita;Oficial;2009 Kirin Cup;1;1;0;Empate;Chiba
620;2009;Generación Dorada;Paraguay;Visita;Oficial;Clasificatorias Sudáfrica 2010;2;0;2;Victoria;Asunción
621;2009;Generación Dorada;Bolivia;Local;Oficial;Clasificatorias Sudáfrica 2010;4;0;4;Victoria;Santiago
622;2009;Generación Dorada;Dinamarca;Visita;Amistoso;Partido amistoso;2;1;1;Victoria;Brøndby
623;2009;Generación Dorada;Venezuela;Local;Oficial;Clasificatorias Sudáfrica 2010;2;2;0;Empate;Santiago
624;2009;Generación Dorada;Brasil;Visita;Oficial;Clasificatorias Sudáfrica 2010;2;4;-2;Derrota;Salvador
625;2009;Generación Dorada;Colombia;Visita;Oficial;Clasificatorias Sudáfrica 2010;4;2;2;Victoria;Medellín
626;2009;Generación Dorada;Ecuador;Local;Oficial;Clasificatorias Sudáfrica 2010;1;0;1;Victoria;Santiago
627;2009;Generación Dorada;Paraguay;Local;Amistoso;Partido amistoso;2;1;1;Victoria;Talcahuano
628;2009;Generación Dorada;Eslovaquia;Visita;Amistoso;Partido amistoso;2;1;1;Victoria;_ilina
629;2010;Generación Dorada;Panamá;Local;Amistoso;Partido amistoso;2;1;1;Victoria;Coquimbo
630;2010;Generación Dorada;Venezuela;Local;Amistoso;Partido amistoso;0;0;0;Empate;Temuco
631;2010;Generación Dorada;Trinidad y Tobago;Local;Amistoso;Partido amistoso;2;0;2;Victoria;Iquique
632;2010;Generación Dorada;México;Visita;Amistoso;Partido amistoso;0;1;-1;Derrota;Ciudad de México
633;2010;Generación Dorada;Zambia;Local;Amistoso;Partido amistoso;3;0;3;Victoria;Calama
634;2010;Generación Dorada;Irlanda del Norte;Local;Amistoso;Partido amistoso;1;0;1;Victoria;Chillán
635;2010;Generación Dorada;Israel;Local;Amistoso;Partido amistoso;3;0;3;Victoria;Concepción
636;2010;Generación Dorada;Honduras;Visita;Oficial;Copa del Mundo Sudáfrica 2010;1;0;1;Victoria;Nelspruit
637;2010;Generación Dorada;Suiza;Local;Oficial;Copa del Mundo Sudáfrica 2010;1;0;1;Victoria;Port Elizabeth
638;2010;Generación Dorada;España;Local;Oficial;Copa del Mundo Sudáfrica 2010;1;2;-1;Derrota;Pretoria
639;2010;Generación Dorada;Brasil;Visita;Oficial;Copa del Mundo Sudáfrica 2010;0;3;-3;Derrota;Johannesburgo
640;2010;Generación Dorada;Ucrania;Visita;Amistoso;Partido amistoso;1;2;-1;Derrota;Kiev
641;2010;Generación Dorada;Emiratos Árabes Unidos;Visita;Amistoso;Partido amistoso;2;0;2;Victoria;Abu Dabi
642;2010;Generación Dorada;Omán;Visita;Amistoso;Partido amistoso;1;0;1;Victoria;Seeb
643;2010;Generación Dorada;Uruguay;Local;Amistoso;Partido amistoso;2;0;2;Victoria;Santiago
644;2011;Generación Dorada;Estados Unidos;Visita;Amistoso;Partido amistoso;1;1;0;Empate;Carson
645;2011;Generación Dorada;Portugal;Visita;Amistoso;Partido amistoso;1;1;0;Empate;Leiría
646;2011;Generación Dorada;Colombia;Visita;Amistoso;Partido amistoso;2;0;2;Victoria;La Haya
647;2011;Generación Dorada;Estonia;Local;Amistoso;Partido amistoso;4;0;4;Victoria;Santiago
648;2011;Generación Dorada;Paraguay;Visita;Amistoso;Partido amistoso;0;0;0;Empate;Asunción
649;2011;Generación Dorada;México;Local;Oficial;Copa América 2011;2;1;1;Victoria;San Juan
650;2011;Generación Dorada;Uruguay;Visita;Oficial;Copa América 2011;1;1;0;Empate;Mendoza
651;2011;Generación Dorada;Perú;Local;Oficial;Copa América 2011;1;0;1;Victoria;Mendoza
652;2011;Generación Dorada;Venezuela;Local;Oficial;Copa América 2011;1;2;-1;Derrota;San Juan
653;2011;Generación Dorada;Francia;Visita;Amistoso;Partido amistoso;1;1;0;Empate;Montpellier
654;2011;Generación Dorada;España;Visita;Amistoso;Partido amistoso;2;3;-1;Derrota;Sankt Gallen
655;2011;Generación Dorada;México;Visita;Amistoso;Partido amistoso;0;1;-1;Derrota;Cornellà de Llobregat
